,end,start,tweet_count
0,2022-12-27T06:00:00.000Z,2022-12-27T05:29:41.000Z,1168
1,2022-12-27T07:00:00.000Z,2022-12-27T06:00:00.000Z,2316
2,2022-12-27T08:00:00.000Z,2022-12-27T07:00:00.000Z,2112
3,2022-12-27T09:00:00.000Z,2022-12-27T08:00:00.000Z,2558
4,2022-12-27T10:00:00.000Z,2022-12-27T09:00:00.000Z,2899
5,2022-12-27T11:00:00.000Z,2022-12-27T10:00:00.000Z,3717
6,2022-12-27T12:00:00.000Z,2022-12-27T11:00:00.000Z,3550
7,2022-12-27T13:00:00.000Z,2022-12-27T12:00:00.000Z,3615
8,2022-12-27T14:00:00.000Z,2022-12-27T13:00:00.000Z,4386
9,2022-12-27T15:00:00.000Z,2022-12-27T14:00:00.000Z,4712
10,2022-12-27T16:00:00.000Z,2022-12-27T15:00:00.000Z,4847
11,2022-12-27T17:00:00.000Z,2022-12-27T16:00:00.000Z,4741
12,2022-12-27T18:00:00.000Z,2022-12-27T17:00:00.000Z,4678
13,2022-12-27T19:00:00.000Z,2022-12-27T18:00:00.000Z,4288
14,2022-12-27T20:00:00.000Z,2022-12-27T19:00:00.000Z,3885
15,2022-12-27T21:00:00.000Z,2022-12-27T20:00:00.000Z,3523
16,2022-12-27T22:00:00.000Z,2022-12-27T21:00:00.000Z,3600
17,2022-12-27T23:00:00.000Z,2022-12-27T22:00:00.000Z,3751
18,2022-12-28T00:00:00.000Z,2022-12-27T23:00:00.000Z,3675
19,2022-12-28T01:00:00.000Z,2022-12-28T00:00:00.000Z,3216
20,2022-12-28T02:00:00.000Z,2022-12-28T01:00:00.000Z,2991
21,2022-12-28T03:00:00.000Z,2022-12-28T02:00:00.000Z,2927
22,2022-12-28T04:00:00.000Z,2022-12-28T03:00:00.000Z,2822
23,2022-12-28T05:00:00.000Z,2022-12-28T04:00:00.000Z,2804
24,2022-12-28T06:00:00.000Z,2022-12-28T05:00:00.000Z,2661
25,2022-12-28T07:00:00.000Z,2022-12-28T06:00:00.000Z,2452
26,2022-12-28T08:00:00.000Z,2022-12-28T07:00:00.000Z,2662
